CC COD;CT COD;CCUSTO;CONTA;2020-10
10100;41101001;10100 - PRESIDENCIA;41101001 - SALARIOS;51500
10100;41101005;10100 - PRESIDENCIA;41101005 - AJUDA DE CUSTO;610,34
10100;41101008;10100 - PRESIDENCIA;41101008 - ENCARGOS SOCIAIS - INSS;26539,51
10100;41101009;10100 - PRESIDENCIA;41101009 - ENC. SOCIAIS - FGTS;5362,49
10100;41101010;10100 - PRESIDENCIA;41101010 - FERIAS;5722,23
10100;41101012;10100 - PRESIDENCIA;41101012 - DECIMO TERCEIRO SALARIO;4291,67
10100;41101020;10100 - PRESIDENCIA;41101020 - DESPESA COM BONUS SALARIAL;5517,24
10100;41101024;10100 - PRESIDENCIA;41101024 - PRO-LABORE;41200
10100;41101027;10100 - PRESIDENCIA;41101027 - PROVISAO PPR;35191,66
10100;41102007;10100 - PRESIDENCIA;41102007 - OUTRAS DESPESAS C/PESSOAL;-72909,84
10100;41102009;10100 - PRESIDENCIA;41102009 - TICKETS RESTAURANTE;449,17
10100;41102011;10100 - PRESIDENCIA;41102011 - ASSISTENCIA MEDICA;2997,17
10100;41102017;10100 - PRESIDENCIA;41102017 - SEGURO DE VIDA;177,81
10100;42103003;10100 - PRESIDENCIA;42103003 - ALUGUEIS DE VEICULOS;2699,15
10100;42105010;10100 - PRESIDENCIA;42105010 - CONSULTORIA;3925
10100;42106001;10100 - PRESIDENCIA;42106001 - VIAGENS AO EXTERIOR;3418,82
10100;42106008;10100 - PRESIDENCIA;42106008 - HOSPEDAGEM;1,13
10100;42108001;10100 - PRESIDENCIA;42108001 - TELEFONIA FIXA;53,66
10100;42108002;10100 - PRESIDENCIA;42108002 - TELEFONIA MOVEL;1016,88
10100;42111009;10100 - PRESIDENCIA;42111009 - DESPESAS DE CARTORIO;84,59
10100;42115001;10100 - PRESIDENCIA;42115001 - DEPRECIACAO;515,28
10100;42115002;10100 - PRESIDENCIA;42115002 - AMORTIZACAO;271,41
10100;42116004;10100 - PRESIDENCIA;42116004 - FEIRAS E EVENTOS;2590
10100;42117001;10100 - PRESIDENCIA;42117001 - CONSUMO DE PRODUTO ACABADO;270,02
10100;42117003;10100 - PRESIDENCIA;42117003 - CONSUMO DE MATERIA PRIMA;449,46
10101;41102018;10101 - VICE-PRESIDENCIA;41102018 - RECRUTAMENTO E SELECAO;8380,42
10101;42105010;10101 - VICE-PRESIDENCIA;42105010 - CONSULTORIA;61880,8
10101;42106006;10101 - VICE-PRESIDENCIA;42106006 - DESPESAS COM TAXI;1150
