unid+sku	UNID RESULTADO	SKU FINAL
AM CN-40.05.0001	AM CN	40.05.0001
AM CN-40.05.0031	AM CN	40.05.0031
AM CN-40.05.0041	AM CN	40.05.0041
AM CN-40.05.0061	AM CN	40.05.0061
AM CN-40.05.1100	AM CN	40.05.1100
AM CN-40.05.1101	AM CN	40.05.1101
AM CN-40.05.2100	AM CN	40.05.2100
AM CN-40.05.2101	AM CN	40.05.2101
AM CN-40.05.2103	AM CN	40.05.2103
AM CN-40.05.2106	AM CN	40.05.2106
AM CN-40.06.0051	AM CN	40.06.0051
AM CN-40.06.0052	AM CN	40.06.0052
AM CN-40.10.0002	AM CN	40.10.0002
AM CN-40.12.0014	AM CN	40.12.0014
AM CN-40.16.0014	AM CN	40.16.0014
AM CN-40.16.0016	AM CN	40.16.0016
AM CN-40.31.0001	AM CN	40.31.0001
AM CN-51.110A81091	AM CN	51.110A81091
AM FN FR-40.05.0001	AM FN FR	40.05.0001
AM FN FR-40.05.0026	AM FN FR	40.05.0026
AM FN FR-40.05.0061	AM FN FR	40.05.0061
AM FN FR-40.05.0150	AM FN FR	40.05.0150
AM FN FR-40.05.1001	AM FN FR	40.05.1001
AM FN FR-40.05.1100	AM FN FR	40.05.1100
AM FN FR-40.05.1400	AM FN FR	40.05.1400
AM FN FR-40.05.1600	AM FN FR	40.05.1600
AM FN FR-40.05.2100	AM FN FR	40.05.2100
AM FN FR-40.05.2101	AM FN FR	40.05.2101
AM FN FR-40.05.5000	AM FN FR	40.05.5000
AM FN FR-40.05.5001	AM FN FR	40.05.5001
AM FN FR-40.05.5002	AM FN FR	40.05.5002
AM FN FR-40.06.0008	AM FN FR	40.06.0008
AM FN FR-40.06.0019	AM FN FR	40.06.0019
AM FN FR-40.06.0071	AM FN FR	40.06.0071
AM FN FR-40.06.0072	AM FN FR	40.06.0072
AM FN FR-40.06.0073	AM FN FR	40.06.0073
AM FN FR-40.06.0074	AM FN FR	40.06.0074
AM FN FR-40.07.0024	AM FN FR	40.07.0024
AM FN FR-40.07.0025	AM FN FR	40.07.0025
AM FN FR-40.07.0029	AM FN FR	40.07.0029
AM FN FR-40.08.0001	AM FN FR	40.08.0001
AM FN FR-40.08.0003	AM FN FR	40.08.0003
AM FN FR-40.08.0011	AM FN FR	40.08.0011
AM FN FR-40.09.0002	AM FN FR	40.09.0002
AM FN FR-40.13.0011	AM FN FR	40.13.0011
AM FN FR-40.16.0014	AM FN FR	40.16.0014
AM FN FR-40.16.0015	AM FN FR	40.16.0015
AM FN FR-40.18.0006	AM FN FR	40.18.0006
AM FN FR-40.18.0007	AM FN FR	40.18.0007
AM FN FR-40.23.0001	AM FN FR	40.23.0001
AM FN FR-50.10.0011	AM FN FR	50.10.0011
AM FN FR-50.10.0012	AM FN FR	50.10.0012
AM FN FR-Outros	AM FN FR	Outros
AM FN-40.05.0001	AM FN	40.05.0001
AM FN-Outros	AM FN	Outros
AM FP VR-40.05.0001	AM FP VR	40.05.0001
AM FP-40.05.0001	AM FP	40.05.0001
AM FP-Outros	AM FP	Outros
AM FR-40.05.0001	AM FR	40.05.0001
AM FR-Outros	AM FR	Outros
AM VN-40.05.0001	AM VN	40.05.0001
AM VN-40.05.0025	AM VN	40.05.0025
AM VN-40.05.0026	AM VN	40.05.0026
AM VN-40.05.0037	AM VN	40.05.0037
AM VN-40.05.0041	AM VN	40.05.0041
AM VN-40.05.0061	AM VN	40.05.0061
AM VN-40.05.1100	AM VN	40.05.1100
AM VN-40.05.1101	AM VN	40.05.1101
AM VN-40.05.1102	AM VN	40.05.1102
AM VN-40.05.1104	AM VN	40.05.1104
AM VN-40.05.1105	AM VN	40.05.1105
AM VN-40.05.1106	AM VN	40.05.1106
AM VN-40.05.1400	AM VN	40.05.1400
AM VN-40.05.1401	AM VN	40.05.1401
AM VN-40.05.1600	AM VN	40.05.1600
AM VN-40.05.2100	AM VN	40.05.2100
AM VN-40.05.2101	AM VN	40.05.2101
AM VN-40.05.2102	AM VN	40.05.2102
AM VN-40.05.3113	AM VN	40.05.3113
AM VN-40.06.0051	AM VN	40.06.0051
AM VN-40.06.0052	AM VN	40.06.0052
AM VN-40.06.0053	AM VN	40.06.0053
AM VN-40.06.0055	AM VN	40.06.0055
AM VN-40.09.0001	AM VN	40.09.0001
AM VN-40.12.0014	AM VN	40.12.0014
AM VN-40.13.0015	AM VN	40.13.0015
AM VN-40.13.0016	AM VN	40.13.0016
AM VN-40.16.0014	AM VN	40.16.0014
AM VN-40.16.0015	AM VN	40.16.0015
AM VN-40.16.3000	AM VN	40.16.3000
AM VN-40.16.3001	AM VN	40.16.3001
AM VN-40.18.0008	AM VN	40.18.0008
AM VN-40.18.0009	AM VN	40.18.0009
AM VN-40.30.0016	AM VN	40.30.0016
