PERIODO	mˆs	Sigla Canal	Unid Res	Codigo Sku	conca	  Volume 	 NFS+NFD+ST	 ICMS 	 PIS 9,25%	 COFINS 9,25%	 Subven‡Æo	 Impostos Cutoff	 Bonifica‡äes	 Desc Comerciais	 Desc Log¡sticos	 Desc Espor dicos	 Acordos	 Custo Matl	 Custo GGF	 Depreciacao	 Frete	 Armazenagem	 Desp Exporta‡Æo	 Desp Comerciais	 Desp Marketing	 Desp Trade Marketing	 PIS	 COFINS	 TT IMP 0%	 TT IMP 9,25%
2020-10	Out	BR	BR	40.05.0001	BR-40.05.0001	130,00	891,87	-80,91	-13,69	-63,03	35,67	0	0,00	0,00	0,00	0,00	0,00	-756,91	-194,57	-17,30	-2,657228564	-5,18225E-12	0	-1,3808E-11	-3,71809E-11	-1,43833E-13	0	0		
2020-10	Out	BR	BR	40.05.0018	BR-40.05.0018	0,00	0,00	0	0	0	0	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0	0	0	0	0	0	0	0		
2020-10	Out	BR	BR	40.05.0025	BR-40.05.0025	9,90	80,19	-5,61	-1,23	-5,67	3,2	0	0,00	0,00	0,00	0,00	0,00	-75,28	-15,24	-1,32	0	-3,94648E-13	0	-1,24151E-12	-3,34302E-12	-1,29324E-14	0	0		
2020-10	Out	BR	BR	40.05.0026	BR-40.05.0026	9,90	46,53	-3,26	-0,71	-3,29	1,86	0	0,00	0,00	0,00	0,00	0,00	-30,31	-10,43	-1,32	0	-3,94648E-13	0	-7,2038E-13	-1,93977E-12	-7,50396E-15	0	0		
2020-10	Out	BR	BR	40.05.0031	BR-40.05.0031	30,00	216,00	-33,13	-3,31	-15,27	8,64	0	0,00	0,00	0,00	0,00	0,00	-166,19	-40,89	-3,99	-3,454397133	-1,1959E-12	0	-3,34413E-12	-9,00476E-12	-3,48346E-14	0	0		
2020-10	Out	BR	BR	40.05.0035	BR-40.05.0035	31,50	269,36	-18,85	-4,13	-19,04	10,78	0	0,00	0,00	0,00	0,00	0,00	-223,65	-68,75	-4,19	0	-1,2557E-12	0	-4,17025E-12	-1,12293E-11	-4,34401E-14	0	0		
2020-10	Out	BR	BR	40.05.0037	BR-40.05.0037	0,00	0,00	0	0	0	0	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0	0	0	0	0	0	0	0		
2020-10	Out	BR	BR	40.05.0041	BR-40.05.0041	80,00	563,05	-39,41	-8,65	-39,81	22,52	0	0,00	0,00	0,00	0,00	0,00	-460,40	-108,30	-10,65	-3,454397133	-3,18908E-12	0	-8,71718E-12	-2,34728E-11	-9,08039E-14	0	0		
2020-10	Out	BR	BR	40.05.0061	BR-40.05.0061	90,00	585,00	-40,95	-8,98	-41,33	23,4	0	0,00	0,00	0,00	0,00	0,00	-526,32	-131,57	-11,98	-0,531445713	-3,58771E-12	0	-9,05701E-12	-2,43879E-11	-9,43438E-14	0	0		
2020-10	Out	BR	BR	40.05.0143	BR-40.05.0143	6,72	51,41	-3,6	-0,79	-3,63	2,06	0	0,00	0,00	0,00	0,00	0,00	-41,40	-18,91	-0,89	0	-2,67883E-13	0	-7,95933E-13	-2,14322E-12	-8,29097E-15	0	0		
