Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
DIVO11.SA,55.02,01-10-20,17:15 BRT,0.11999893,54.8,55.7,54.26,18072,,,,,,,
PLAN," 730 ",01-10-20,16:00 EDT,1.3899994,64.05,66.1,63.26,4944863,,,,,,,
SUZB3.SA,46.5,01-10-20,17:09 BRT,0.95000076,45.6,47,45.07,8975100,,,,,,,
VGS.AX,79.69,01-10-20,10:08 AEST,0,79.76,79.79,79.69,7019,,,,,,,
B3SA3.SA,54.53,01-10-20,17:09 BRT,-0.47999954,55.33,55.33,53.8,11495400,,,,,,,
AUDBRL=X,4.0486,01-10-20,01:29 BST,0.021000385,4.0517,4.054,4.0462,0,,,,,,,
EMBR3.SA,6.47,01-10-20,17:09 BRT,0.23000002,6.29,6.48,6.24,11926300,,,,,,,
CGAS3.SA,170,30-09-20,15:27 BRT,0,0,170,170,0,,,,,,,
TIET11.SA,14.82,01-10-20,17:10 BRT,0.15999985,14.67,14.95,14.54,2467600,,,,,,,
VAP.AX,75,01-10-20,10:09 AEST,0.5,75,75,74.54,2163,,,,,,,
DIV.AX,19.8,11-05-20,14:00 AEST,0,19,19.8,19,17493,,,,,,,
VIF.AX,49.49,01-10-20,10:07 AEST,0.060001373,49.5,49.5,49.44,411,,,,,,,
VAF.AX,52.34,01-10-20,10:07 AEST,0.09000015,52.34,52.34,52.32,11874,,,,,,,
VALE3.SA,58.86,01-10-20,17:11 BRT,-0.25,59.53,59.85,58.02,22604500,,,,,,,
ABEV3.SA,12.7,01-10-20,17:09 BRT,0.15999985,12.55,12.78,12.48,20801000,,,,,,,
ABEV3.SA,12.7,01-10-20,17:09 BRT,0.15999985,12.55,12.78,12.48,20801000,,,,,,,
ALU.AX,35.52,01-10-20,10:09 AEST,0.29000092,35.35,35.67,35.34,17018,,,,,,,
ALU.AX,35.52,01-10-20,10:09 AEST,0.29000092,35.35,35.67,35.34,17018,,,,,,,
BRK-B,212.02,01-10-20,16:02 EDT,-0.91999817,214.3,214.385,210.62,4412566,,,,,,,
BRK-B,212.02,01-10-20,16:02 EDT,-0.91999817,214.3,214.385,210.62,4412566,,,,,,,
CIEL3.SA,3.97,01-10-20,17:09 BRT,0.03999996,3.94,3.98,3.88,29328800,,,,,,,
CIEL3.SA,3.97,01-10-20,17:09 BRT,0.03999996,3.94,3.98,3.88,29328800,,,,,,,
CTIP3.SA,,28-06-19,18:07 EDT,,,,,,,,,,,,
CTIP3.SA,,28-06-19,18:07 EDT,,,,,,,,,,,,
FLT.AX,14.31,01-10-20,10:09 AEST,0.15000057,14.15,14.34,14.06,174515,,,,,,,
FLT.AX,14.31,01-10-20,10:09 AEST,0.15000057,14.15,14.34,14.06,174515,,,,,,,
ITUB4.SA,22.52,01-10-20,17:09 BRT,0.034999847,22.55,22.6,22.18,20276600,,,,,,,
ITUB4.SA,22.52,01-10-20,17:09 BRT,0.034999847,22.55,22.6,22.18,20276600,,,,,,,
KROT3.SA,,,,,,,,,,,,,,,
KROT3.SA,,,,,,,,,,,,,,,
MMJ.AX,0.094,01-10-20,10:04 AEST,0.001999997,0.094,0.094,0.094,1000,,,,,,,
MMJ.AX,0.094,01-10-20,10:04 AEST,0.001999997,0.094,0.094,0.094,1000,,,,,,,
MXC.AX,0.024,01-10-20,10:04 AEST,0.001,0.024,0.024,0.024,165000,,,,,,,
MXC.AX,0.024,01-10-20,10:04 AEST,0.001,0.024,0.024,0.024,165000,,,,,,,
NFLX,527.51,01-10-20,16:00 EDT,27.480011,506.03,529.35,503.61,7902566,,,,,,,
NFLX,527.51,01-10-20,16:00 EDT,27.480011,506.03,529.35,503.61,7902566,,,,,,,
PCAR4.SA,72.11,28-02-20,18:10 BRT,0,0,0,0,0,,,,,,,
PCAR4.SA,72.11,28-02-20,18:10 BRT,0,0,0,0,0,,,,,,,
RADL3.SA,24.09,01-10-20,17:09 BRT,0.6700001,23.8,24.15,23.47,7998200,,,,,,,
RADL3.SA,24.09,01-10-20,17:09 BRT,0.6700001,23.8,24.15,23.47,7998200,,,,,,,
VALE5.SA,,28-06-19,18:07 EDT,,,,,,,,,,,,
VALE5.SA,,28-06-19,18:07 EDT,,,,,,,,,,,,
AUD=X,1.39283,01-10-20,01:29 BST,-0.00316,1.3912,1.39413,1.3903,0,,,,,,,
^BVSP,95478.52,01-10-20,17:21 BRT,875.125,94604.15,95486.33,93599.05,0,,,,,,,
USDBRL=X,,,,,,,,,,,,,,,
^MERV,38390.84,19-02-20,17:02 ART,233.89062,38156.95,39015.46,38156.95,0,,,,,,,
